"統計名：","人口推計 各年10月1日現在人口 平成27年国勢調査基準 統計表"
"表番号：","001"
"表題：","年齢（各歳），男女別人口及び人口性比－総人口，日本人人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","/人口 コード","001","001","001","001","002","002","002","002"
"","","","","","","","","","/人口 補助コード","-","-","-","-","-","-","-","-"
"","","","","","","","","","/人口","総人口","総人口","総人口","総人口","日本人人口","日本人人口","日本人人口","日本人人口"
"","","","","","","","","","/男女別・性比 コード","001","002","003","004","001","002","003","004"
"","","","","","","","","","/男女別・性比 補助コード","-","-","-","-","-","-","-","-"
"全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢各歳 コード","年齢各歳 補助コード","年齢各歳","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"00000","","全国","1501","","2015年10月1日現在","01044","","43歳","","1,993","1,010","983","***","1,960","997","963","***"
"00000","","全国","1501","","2015年10月1日現在","01045","","44歳","","1,940","981","959","***","1,907","968","939","***"
"00000","","全国","1501","","2015年10月1日現在","01046","","45歳","","1,881","951","930","***","1,849","939","910","***"
"00000","","全国","1501","","2015年10月1日現在","01047","","46歳","","1,852","935","917","***","1,821","923","898","***"
"00000","","全国","1501","","2015年10月1日現在","01048","","47歳","","1,812","914","898","***","1,781","902","879","***"
"00000","","全国","1501","","2015年10月1日現在","01049","","48歳","","1,808","912","896","***","1,781","902","880","***"
"00000","","全国","1501","","2015年10月1日現在","01050","","49歳","","1,413","710","703","***","1,387","700","687","***"
"00000","","全国","1501","","2015年10月1日現在","01051","","50歳","","1,744","877","867","***","1,718","867","851","***"
"00000","","全国","1501","","2015年10月1日現在","01052","","51歳","","1,634","821","812","***","1,609","811","797","***"
"00000","","全国","1501","","2015年10月1日現在","01053","","52歳","","1,592","799","793","***","1,568","790","778","***"
